User_ID,Year,Month,Balance,Scenario,Salary,Fixed_Expenses,Variable_Expenses,Total_Expenses,Savings,Savings_Rate,Expense_Fluctuation,Risk_Category
U001,2024,1,171143.0,Stable Salary & Decreasing Fixed Expenses,52603,27058.0,12541,39599.0,13004.0,24.72,0.04,Medium Risk
U001,2024,2,184147.0,Stable Salary & Decreasing Fixed Expenses,52603,27058.0,12324,39382.0,13221.0,25.13,-0.0,Low Risk
U001,2024,3,197368.0,Stable Salary & Decreasing Fixed Expenses,52603,27058.0,13269,40327.0,12276.0,23.34,-0.02,Medium Risk
U001,2024,4,209644.0,Stable Salary & Decreasing Fixed Expenses,52603,25644.0,14310,39954.0,12649.0,24.05,-0.01,Medium Risk
U001,2024,5,222293.0,Stable Salary & Decreasing Fixed Expenses,52603,25644.0,12515,38159.0,14444.0,27.46,0.03,Low Risk
U001,2024,6,236737.0,Stable Salary & Decreasing Fixed Expenses,52603,25644.0,10971,36615.0,15988.0,30.39,0.01,Low Risk
U001,2024,7,252725.0,Stable Salary & Decreasing Fixed Expenses,52603,25644.0,12553,38197.0,14406.0,27.39,-0.02,Low Risk
U001,2024,8,267131.0,Stable Salary & Decreasing Fixed Expenses,52603,25644.0,12394,38038.0,14565.0,27.69,-0.01,Low Risk
U001,2024,9,281696.0,Stable Salary & Decreasing Fixed Expenses,52603,25644.0,11689,37333.0,15270.0,29.03,0.02,Low Risk
U001,2024,10,296966.0,Stable Salary & Decreasing Fixed Expenses,52603,25644.0,11260,36904.0,15699.0,29.84,-0.01,Low Risk
U001,2024,11,312665.0,Stable Salary & Decreasing Fixed Expenses,52603,25644.0,13692,39336.0,13267.0,25.22,-0.04,Low Risk
U001,2024,12,325932.0,Stable Salary & Decreasing Fixed Expenses,52603,25644.0,14416,40060.0,12543.0,23.84,0.05,Medium Risk
U002,2024,1,164112.0,Salary Increases & Fixed Expenses Remain Stable,111308,42280.0,35073,77353.0,33955.0,30.51,-0.02,Low Risk
U002,2024,2,198067.0,Salary Increases & Fixed Expenses Remain Stable,111308,42280.0,45756,88036.0,23272.0,20.91,0.02,Medium Risk
U002,2024,3,221339.0,Salary Increases & Fixed Expenses Remain Stable,111308,42280.0,42306,84586.0,26722.0,24.01,-0.04,Medium Risk
U002,2024,4,248061.0,Salary Increases & Fixed Expenses Remain Stable,111308,42280.0,45808,88088.0,23220.0,20.86,0.01,Medium Risk
U002,2024,5,271281.0,Salary Increases & Fixed Expenses Remain Stable,129312,42280.0,63088,105368.0,23944.0,18.52,-0.01,Medium Risk
U002,2024,6,295225.0,Salary Increases & Fixed Expenses Remain Stable,129312,42280.0,57924,100204.0,29108.0,22.51,0.01,Medium Risk
U002,2024,7,324333.0,Salary Increases & Fixed Expenses Remain Stable,129312,42280.0,41446,83726.0,45586.0,35.25,0.05,Low Risk
U002,2024,8,369919.0,Salary Increases & Fixed Expenses Remain Stable,129312,42280.0,63137,105417.0,23895.0,18.48,0.04,Medium Risk
U002,2024,9,393814.0,Salary Increases & Fixed Expenses Remain Stable,129312,42280.0,50662,92942.0,36370.0,28.13,-0.03,Low Risk
U002,2024,10,430184.0,Salary Increases & Fixed Expenses Remain Stable,129312,42280.0,59740,102020.0,27292.0,21.11,0.03,Medium Risk
U002,2024,11,457476.0,Salary Increases & Fixed Expenses Remain Stable,129312,42280.0,54436,96716.0,32596.0,25.21,-0.01,Low Risk
U002,2024,12,490072.0,Salary Increases & Fixed Expenses Remain Stable,129312,42280.0,51930,94210.0,35102.0,27.15,0.04,Low Risk
U003,2024,1,115668.0,Salary Increases & Fixed Expenses Increase,72617,25036.0,26374,51410.0,21207.0,29.2,-0.05,Low Risk
U003,2024,2,136875.0,Salary Increases & Fixed Expenses Increase,72617,25036.0,35864,60900.0,11717.0,16.14,-0.04,Medium Risk
U003,2024,3,148592.0,Salary Increases & Fixed Expenses Increase,72617,25036.0,23285,48321.0,24296.0,33.46,0.04,Low Risk
U003,2024,4,172888.0,Salary Increases & Fixed Expenses Increase,83802,25036.0,30140,55176.0,28626.0,34.16,0.01,Low Risk
U003,2024,5,201514.0,Salary Increases & Fixed Expenses Increase,83802,25036.0,25653,50689.0,33113.0,39.51,-0.02,Low Risk
U003,2024,6,234627.0,Salary Increases & Fixed Expenses Increase,83802,25036.0,25188,50224.0,33578.0,40.07,0.03,Low Risk
U003,2024,7,268205.0,Salary Increases & Fixed Expenses Increase,83802,25036.0,35984,61020.0,22782.0,27.19,0.03,Low Risk
U003,2024,8,290987.0,Salary Increases & Fixed Expenses Increase,83802,25036.0,37174,62210.0,21592.0,25.77,-0.02,Low Risk
U003,2024,9,312579.0,Salary Increases & Fixed Expenses Increase,83802,25036.0,29410,54446.0,29356.0,35.03,0.03,Low Risk
U003,2024,10,341935.0,Salary Increases & Fixed Expenses Increase,83802,25036.0,32027,57063.0,26739.0,31.91,-0.02,Low Risk
U003,2024,11,368674.0,Salary Increases & Fixed Expenses Increase,83802,26949.0,43881,70830.0,12972.0,15.48,0.05,Medium Risk
U003,2024,12,381646.0,Salary Increases & Fixed Expenses Increase,83802,26949.0,26293,53242.0,30560.0,36.47,0.04,Low Risk
U004,2024,1,187122.0,Stable Salary & Increasing Fixed Expenses,150841,49976.0,63946,113922.0,36919.0,24.48,0.04,Medium Risk
U004,2024,2,224041.0,Stable Salary & Increasing Fixed Expenses,150841,49976.0,48834,98810.0,52031.0,34.49,-0.05,Low Risk
U004,2024,3,276072.0,Stable Salary & Increasing Fixed Expenses,150841,49976.0,70747,120723.0,30118.0,19.97,0.02,Medium Risk
U004,2024,4,306190.0,Stable Salary & Increasing Fixed Expenses,150841,49976.0,53230,103206.0,47635.0,31.58,-0.01,Low Risk
U004,2024,5,353825.0,Stable Salary & Increasing Fixed Expenses,150841,49976.0,51670,101646.0,49195.0,32.61,-0.03,Low Risk
U004,2024,6,403020.0,Stable Salary & Increasing Fixed Expenses,150841,49976.0,58193,108169.0,42672.0,28.29,0.05,Low Risk
U004,2024,7,445692.0,Stable Salary & Increasing Fixed Expenses,150841,49976.0,73594,123570.0,27271.0,18.08,-0.01,Medium Risk
U004,2024,8,472963.0,Stable Salary & Increasing Fixed Expenses,150841,49976.0,69504,119480.0,31361.0,20.79,0.02,Medium Risk
U004,2024,9,504324.0,Stable Salary & Increasing Fixed Expenses,150841,49976.0,77395,127371.0,23470.0,15.56,0.03,Medium Risk
U004,2024,10,527794.0,Stable Salary & Increasing Fixed Expenses,150841,49976.0,54356,104332.0,46509.0,30.83,-0.0,Low Risk
U004,2024,11,574303.0,Stable Salary & Increasing Fixed Expenses,150841,49976.0,57001,106977.0,43864.0,29.08,0.02,Low Risk
U004,2024,12,618167.0,Stable Salary & Increasing Fixed Expenses,150841,49976.0,55332,105308.0,45533.0,30.19,-0.01,Low Risk
U005,2024,1,204442.0,Stable Salary & Stable Fixed Expenses,159373,49986.0,44628,94614.0,64759.0,40.63,-0.03,Low Risk
U005,2024,2,269201.0,Stable Salary & Stable Fixed Expenses,159373,49986.0,33626,83612.0,75761.0,47.54,-0.03,Low Risk
U005,2024,3,344962.0,Stable Salary & Stable Fixed Expenses,159373,49986.0,35184,85170.0,74203.0,46.56,0.04,Low Risk
U005,2024,4,419165.0,Stable Salary & Stable Fixed Expenses,159373,49986.0,33487,83473.0,75900.0,47.62,0.03,Low Risk
U005,2024,5,495065.0,Stable Salary & Stable Fixed Expenses,159373,49986.0,40637,90623.0,68750.0,43.14,-0.0,Low Risk
U005,2024,6,563815.0,Stable Salary & Stable Fixed Expenses,159373,49986.0,33453,83439.0,75934.0,47.65,0.02,Low Risk
U005,2024,7,639749.0,Stable Salary & Stable Fixed Expenses,159373,49986.0,44361,94347.0,65026.0,40.8,0.03,Low Risk
U005,2024,8,704775.0,Stable Salary & Stable Fixed Expenses,159373,49986.0,42093,92079.0,67294.0,42.22,-0.05,Low Risk
U005,2024,9,772069.0,Stable Salary & Stable Fixed Expenses,159373,49986.0,42128,92114.0,67259.0,42.2,-0.0,Low Risk
U005,2024,10,839328.0,Stable Salary & Stable Fixed Expenses,159373,49986.0,33047,83033.0,76340.0,47.9,-0.03,Low Risk
U005,2024,11,915668.0,Stable Salary & Stable Fixed Expenses,159373,49986.0,49760,99746.0,59627.0,37.41,0.04,Low Risk
