User_ID,Year,Month,Balance,Scenario,Salary,Fixed_Expenses,Variable_Expenses,Total_Expenses,Savings,Savings_Rate,Expense_Fluctuation,Risk_Category
U001,2024,1,212532.0,Salary Increases & Fixed Expenses Increase,111417,58116.0,65694,123810.0,-12393.0,-11.12,-0.04,High Risk
U001,2024,2,200139.0,Salary Increases & Fixed Expenses Increase,111417,58116.0,55524,113640.0,-2223.0,-2.0,-0.04,High Risk
U001,2024,3,197916.0,Salary Increases & Fixed Expenses Increase,118127,58116.0,70024,128140.0,-10013.0,-8.48,-0.04,High Risk
U001,2024,4,187903.0,Salary Increases & Fixed Expenses Increase,118127,58116.0,51874,109990.0,8137.0,6.89,0.01,High Risk
U001,2024,5,196040.0,Salary Increases & Fixed Expenses Increase,118127,59390.0,63632,123022.0,-4895.0,-4.14,-0.03,High Risk
U001,2024,6,191145.0,Salary Increases & Fixed Expenses Increase,118127,59390.0,55142,114532.0,3595.0,3.04,-0.05,High Risk
U001,2024,7,194740.0,Salary Increases & Fixed Expenses Increase,118127,59390.0,49728,109118.0,9009.0,7.63,0.05,High Risk
U001,2024,8,203749.0,Salary Increases & Fixed Expenses Increase,118127,59390.0,57929,117319.0,808.0,0.68,0.01,High Risk
U001,2024,9,204557.0,Salary Increases & Fixed Expenses Increase,118127,59390.0,59418,118808.0,-681.0,-0.58,-0.01,High Risk
U001,2024,10,203876.0,Salary Increases & Fixed Expenses Increase,118127,59390.0,78640,138030.0,-19903.0,-16.85,-0.01,High Risk
U001,2024,11,183973.0,Salary Increases & Fixed Expenses Increase,118127,59390.0,50313,109703.0,8424.0,7.13,0.03,High Risk
U001,2024,12,192397.0,Salary Increases & Fixed Expenses Increase,118127,59390.0,71948,131338.0,-13211.0,-11.18,-0.04,High Risk
U002,2024,1,225010.0,Stable Salary & Increasing Fixed Expenses,46356,11091.0,24994,36085.0,10271.0,22.16,0.02,Medium Risk
U002,2024,2,235281.0,Stable Salary & Increasing Fixed Expenses,46356,11855.0,19284,31139.0,15217.0,32.83,0.05,Low Risk
U002,2024,3,250498.0,Stable Salary & Increasing Fixed Expenses,46356,13225.0,20371,33596.0,12760.0,27.53,-0.02,Low Risk
U002,2024,4,263258.0,Stable Salary & Increasing Fixed Expenses,46356,14480.0,20283,34763.0,11593.0,25.01,0.02,Low Risk
U002,2024,5,274851.0,Stable Salary & Increasing Fixed Expenses,46356,14480.0,21647,36127.0,10229.0,22.07,0.01,Medium Risk
U002,2024,6,285080.0,Stable Salary & Increasing Fixed Expenses,46356,14480.0,19125,33605.0,12751.0,27.51,-0.04,Low Risk
U002,2024,7,297831.0,Stable Salary & Increasing Fixed Expenses,46356,14480.0,22768,37248.0,9108.0,19.65,-0.02,Medium Risk
U002,2024,8,306939.0,Stable Salary & Increasing Fixed Expenses,46356,14480.0,27286,41766.0,4590.0,9.9,0.04,High Risk
U002,2024,9,311529.0,Stable Salary & Increasing Fixed Expenses,46356,14480.0,23671,38151.0,8205.0,17.7,-0.03,Medium Risk
U002,2024,10,319734.0,Stable Salary & Increasing Fixed Expenses,46356,14480.0,18549,33029.0,13327.0,28.75,0.04,Low Risk
U002,2024,11,333061.0,Stable Salary & Increasing Fixed Expenses,46356,15204.0,21671,36875.0,9481.0,20.45,0.04,Medium Risk
U002,2024,12,342542.0,Stable Salary & Increasing Fixed Expenses,46356,15204.0,22348,37552.0,8804.0,18.99,-0.03,Medium Risk
U003,2024,1,200370.0,Salary Increases & Fixed Expenses Remain Stable,157379,44963.0,56218,101181.0,56198.0,35.71,-0.01,Low Risk
U003,2024,2,256568.0,Salary Increases & Fixed Expenses Remain Stable,157379,44963.0,58547,103510.0,53869.0,34.23,0.03,Low Risk
